epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water,iou_Bridge,iou_Noise
1,0.436778,0.30549,0.27061,0.326517,0.820505,0.00099976,0.746259,0.001134,0.049459,0.831727,0.482778,0.053523,0.0,0.0
2,0.280928,0.242354,0.359304,0.438853,0.848592,0.00099902,0.788463,0.00453,0.228188,0.861923,0.545235,0.44609,0.0,0.0
3,0.233141,0.21009,0.388629,0.464116,0.866495,0.0009978,0.809792,0.001157,0.272893,0.89271,0.615119,0.517362,0.0,0.0
4,0.211085,0.205634,0.386494,0.463172,0.864189,0.0009961,0.803525,0.000711,0.248755,0.891453,0.631512,0.500396,0.0,0.015598
5,0.199292,0.192642,0.40206,0.493833,0.871248,0.00099391,0.827349,0.001042,0.252464,0.882964,0.647747,0.398192,0.006001,0.200723
6,0.184402,0.179207,0.44276,0.535935,0.878587,0.00099123,0.834742,0.003887,0.310189,0.892608,0.678954,0.565239,0.020548,0.23591
7,0.180142,0.174492,0.451154,0.547801,0.8777,0.00098808,0.828425,0.010277,0.352875,0.908192,0.679692,0.490507,0.009583,0.32968
8,0.173719,0.165299,0.454514,0.544155,0.884678,0.00098445,0.834048,0.008513,0.326213,0.914118,0.689132,0.608349,0.0,0.25574
9,0.167613,0.166727,0.416392,0.509742,0.881034,0.00098035,0.833933,0.001353,0.315104,0.907491,0.68995,0.347868,0.036669,0.198769
10,0.163429,0.162906,0.467199,0.561946,0.885966,0.00097577,0.845409,0.029727,0.342096,0.902876,0.678507,0.650205,0.025203,0.263573
11,0.15772,0.157156,0.458186,0.555794,0.883581,0.00097074,0.833792,0.035409,0.354954,0.917885,0.700637,0.497434,0.009745,0.315632
12,0.15446,0.157612,0.492106,0.599555,0.884004,0.00096524,0.835151,0.011881,0.352041,0.914188,0.704816,0.570077,0.155992,0.392702
13,0.147611,0.151134,0.484727,0.57733,0.889289,0.00095929,0.849034,0.003668,0.378312,0.909735,0.719762,0.616701,0.020872,0.37973
14,0.148468,0.149925,0.508133,0.616711,0.89006,0.00095289,0.850912,0.040379,0.378959,0.912452,0.713876,0.657774,0.194464,0.31625
15,0.150096,0.157249,0.463834,0.557824,0.889081,0.00094605,0.848311,0.019794,0.353345,0.913438,0.676929,0.657966,0.14789,0.093002
16,0.148498,0.147397,0.486186,0.578483,0.890712,0.00093877,0.845087,0.00511,0.37732,0.92111,0.723625,0.595253,0.015869,0.406114
17,0.142406,0.143259,0.519363,0.626586,0.89397,0.00093107,0.852219,0.049898,0.378369,0.920233,0.734895,0.666287,0.166598,0.386403
18,0.142223,0.144418,0.502937,0.600243,0.893175,0.00092294,0.850733,0.007171,0.394366,0.920382,0.710973,0.671749,0.083112,0.385013
19,0.140962,0.142129,0.532901,0.64285,0.892861,0.0009144,0.85197,0.055184,0.394194,0.918794,0.708001,0.671271,0.190711,0.47308
20,0.135024,0.156489,0.491985,0.585307,0.888004,0.00090546,0.845162,0.029924,0.370102,0.912081,0.718828,0.655953,0.010467,0.393361
21,0.133863,0.1376,0.533279,0.638392,0.897111,0.00089613,0.861806,0.045704,0.385455,0.922424,0.738173,0.695845,0.169205,0.447619
22,0.135604,0.146295,0.491833,0.592553,0.888137,0.0008864,0.843377,0.049153,0.3952,0.919371,0.708674,0.522615,0.026848,0.469423
23,0.132428,0.141521,0.532258,0.636718,0.896674,0.0008763,0.861363,0.073034,0.376804,0.914402,0.729228,0.774617,0.156501,0.372112
24,0.128062,0.13804,0.548215,0.653503,0.900373,0.00086584,0.862511,0.060306,0.385774,0.924124,0.735221,0.77521,0.207361,0.435216
25,0.127484,0.139383,0.521865,0.632185,0.893183,0.00085502,0.851501,0.052968,0.382429,0.92031,0.731273,0.61723,0.18383,0.43538
26,0.129203,0.134688,0.521228,0.634201,0.896795,0.00084385,0.85875,0.059923,0.408767,0.927426,0.741708,0.503328,0.199628,0.470293
27,0.124495,0.133498,0.540332,0.638886,0.901999,0.00083235,0.86307,0.032306,0.402823,0.927557,0.753539,0.789548,0.165557,0.388256
28,0.127437,0.130907,0.556189,0.660025,0.902832,0.00082052,0.866858,0.067934,0.409276,0.927944,0.750439,0.753565,0.176331,0.497166
29,0.122735,0.1313,0.550581,0.656045,0.90189,0.00080839,0.864614,0.06078,0.40878,0.928069,0.743568,0.728565,0.188462,0.481811
30,0.123718,0.132582,0.526046,0.626921,0.897635,0.00079595,0.855217,0.062476,0.410998,0.930297,0.747683,0.63427,0.0727,0.494729
31,0.122641,0.129814,0.530141,0.62904,0.900924,0.00078323,0.859016,0.016942,0.415284,0.930131,0.758457,0.730955,0.16145,0.368889
32,0.117986,0.126286,0.554669,0.651125,0.903837,0.00077023,0.868954,0.060646,0.418512,0.931603,0.755708,0.764791,0.102273,0.534865
33,0.118761,0.126181,0.556506,0.656653,0.90565,0.00075698,0.869008,0.074192,0.410826,0.93052,0.752013,0.834763,0.164625,0.416102
34,0.117447,0.128774,0.531217,0.622071,0.902598,0.00074347,0.864004,0.033067,0.411844,0.930453,0.762818,0.726479,0.044917,0.476154
35,0.117534,0.126492,0.553122,0.654085,0.90607,0.00072973,0.868925,0.056729,0.401975,0.932703,0.765009,0.811857,0.20477,0.383007
36,0.116615,0.133819,0.551878,0.652793,0.900777,0.00071576,0.863148,0.03369,0.403337,0.927866,0.762359,0.730491,0.179268,0.514868
