epoch,train_loss,val_loss,mIoU,macro_F1,OA,lr,iou_Ground,iou_LowVegetation,iou_MedVegetation,iou_HighVegetation,iou_Building,iou_Water
1,0.449718,0.305417,0.336193,0.400387,0.818522,0.00099976,0.7495,0.001238,0.015155,0.792634,0.458631,0.0
2,0.238616,0.2154,0.406468,0.481984,0.86195,0.00099902,0.814353,0.001128,0.222329,0.854908,0.546088,0.0
3,0.1953,0.187246,0.425974,0.499025,0.874174,0.0009978,0.833587,0.000749,0.255295,0.873954,0.592259,0.0
4,0.182145,0.17651,0.439797,0.511947,0.880924,0.0009961,0.838462,0.001139,0.294345,0.89394,0.610893,0.0
5,0.17085,0.166964,0.472134,0.561796,0.883931,0.00099391,0.84314,0.015036,0.318257,0.899705,0.632005,0.124664
6,0.160548,0.160415,0.499609,0.595179,0.887802,0.00099123,0.845693,0.007951,0.312979,0.905699,0.665511,0.259819
7,0.155666,0.156461,0.482989,0.570337,0.888962,0.00098808,0.851225,0.020831,0.324314,0.9055,0.675643,0.120419
8,0.147619,0.152507,0.48654,0.57294,0.890419,0.00098445,0.853999,0.006462,0.314964,0.900634,0.696691,0.146491
9,0.141653,0.148869,0.51665,0.611506,0.893446,0.00098035,0.857405,0.013192,0.347767,0.911338,0.697939,0.272256
10,0.140085,0.139621,0.545723,0.641423,0.896762,0.00097577,0.85774,0.013194,0.364881,0.918043,0.725698,0.39478
11,0.13374,0.139737,0.54715,0.646214,0.896676,0.00097074,0.86326,0.026323,0.367152,0.913188,0.701391,0.411585
12,0.130871,0.135566,0.5313,0.624021,0.898991,0.00096524,0.86347,0.00504,0.380824,0.919764,0.719289,0.299411
13,0.128377,0.134417,0.540195,0.632912,0.899229,0.00095929,0.859138,0.008514,0.365273,0.921632,0.747372,0.339243
14,0.126032,0.13291,0.548066,0.644393,0.899314,0.00095289,0.861884,0.023659,0.381767,0.924102,0.729185,0.367797
15,0.124025,0.13445,0.557427,0.653202,0.898229,0.00094605,0.861403,0.012939,0.386968,0.917697,0.722196,0.443361
16,0.122212,0.130343,0.557018,0.654063,0.902382,0.00093877,0.870146,0.037145,0.375474,0.916797,0.753376,0.389171
17,0.117849,0.124564,0.577224,0.67086,0.903838,0.00093107,0.86724,0.025007,0.403553,0.928596,0.766809,0.472139
18,0.115155,0.125003,0.554389,0.65328,0.904143,0.00092294,0.869316,0.062387,0.405498,0.925719,0.751355,0.312057
19,0.116507,0.122095,0.572283,0.667466,0.905342,0.0009144,0.868488,0.032016,0.397262,0.931463,0.75694,0.447528
20,0.114082,0.117466,0.561627,0.658991,0.906788,0.00090546,0.873492,0.054549,0.390558,0.929075,0.76513,0.356958
